duygu;veri
Olumlu;Gayet  iyi çekiş gücü paketleme güzeldi çabuk geldi  teşekkür ediyorum ??
Olumsuz;Aldığım gün ilk süt muz fındık ezmesi yaptım akıtıyor vede çok çababuk ısınıyor bu gün üçüncü gün bozuldu hiç bir işlem yapmıyor
Olumlu;Kaliteli ürün çokta severek kullanıyorum
Olumsuz;Çekim gücü inanılmaz kötü
Olumsuz;elime geç ulaştı hiçbir özeliği yok içinde herhangi bir kapatıcı da yok iade edeceğim
Olumsuz;Valla hiç memnun değiliz. Bir gram çekmiyor. Evin içi yemek kokusu doluyor. Gürültüsü uçak motoru gibi.
Olumlu;suyu sıcak tutması her daım rahatlık ve caydanlık gıbı  cayı cok guzel yapıyo ve bozulacak dıye aklım gıdıyo cunku cokkk memnunum bazı eksılerı var suyu dıbındeykdn musluguna su gelmıyo mesela ama tavsıye ederım
Olumlu;Salı sipariş verdim perşembe elimdeydi üründen çok memnum kaldım fiyatına göre performansı çok iyi
Olumsuz;ürün cok iyi paketlenmiş olarak geldi fakat kullanmaya basladigimda anladim neden bu kadar indirime girdigini. mikseri acayip sesli çalışıyor. öylesine gürültülü ki kek çırparken patmasindan korkuyorum o derece. urunu aldığım icin pişmanım...
Olumsuz;Yetersiz
Olumlu;Çekim gücü çok iyi çok kuvvetli hızlı kargo magaza iletişimi de gayet iyi..
Olumlu;Ürün beklediğim gibi güzel.Ertesi gün elime ulaştı çık hızlı
Olumsuz;Ben Beğenmedim. ve çöpe attım.
Olumlu;Telefonumun kamera çözünürlüğü çok düşüktü. Bu yüzden iyi fotoğraf çeken bir telefon tercih etmek istedim. Arka kısmındaki üçlü kamera tek kamera gibi çekiyor ve yüksek odaklanma ile çok net fotoğraflar elde edebiliyorsunuz. Aynı zamanda 25MP çözünürlüğü olması büyütürken görüntünün bozulmamasını sağlıyor.
Olumsuz;Aslaaaa tavsiye etmiyorum çekim gücu ilk 6 ay iyiydi  şimdi betbat   parçaları hemen kırılıyor çıkıyor  kendi orjinal ucu asla çekmiyor zaten eski süpürgemin ucunu taktım her süpürüşümde i şallah yanarsında kurtuluru m senden diyorum
Olumlu;güzel sessiz hızlı kargo
Olumsuz;Kargolama hizmetleri 0
Olumsuz;ARKADAŞLAR PC Yİ ALDIM 7 AY KULLANDIM KASMAYA BAŞLADI İŞLEMCİ IŞI YANIP KASIYOR
Olumsuz;malesef urun kalitesiz ve çok sesli tıklamakta amazzon iade seceneği kullandım LAKİN MALESEF İADE İPTAL EDİLDİ. MOUSE KULLANILDIĞINI İDDASI İLE TAVSİYE ETMİYORUM. AMAZONUN BU İŞİ ÇÖZMESİNİ RİCA EDERİM.
Olumlu;Ürün çok güzel
Olumsuz;Bence iyi bir ürün degil cekmiyo
Olumlu;gayet  güzel bir ürün ayrıca gayette hesaplı bir ürün. tavsiye ederim
Olumsuz;daha ikinci çalıştırmada büyük hazne kırıldı. ürün çok  kalitesiz. kesinlikle önermem
Olumsuz;Urunu aldim 3. Gunu yesil ekran veriyo kitleniyo kesinlikle memnun degilim ve iade istiyorum
Olumlu;Robottaki parçlar rende vs çok plastik heran kırılabilir olarak duruyor şimdilik kullanıyorum bir problem yaşamadım
Olumsuz;10000 dediğine bakmayın 3000 anca çıkartıyor. Ama ucuz işte
Olumsuz;berbat bir makine internete bağlanırken bir kasıyor. Sayfa açılana kadar akşam oluyor.
Olumlu;Ev tipi seri kullanıma uygun değil ama ev için ideal
Olumsuz;Koçtaş'tan aldım ürünü. Bende de montaj şablonu çıkmadı. Arkadaşın dediği gibi vatandaşı servislere yönlendirerek masraf çıkartıyorlar. Bu ürünü kesinlikle tavsiye etmiyorum.
Olumsuz;Abartildigi kadar degil cok kucuk
Olumlu;Rengi çok tatlı güzel kaliteli bir ürün çok beğendim
Olumlu;beğenerek kullanıyorum
Olumsuz;hayalisukuta uğradım! iki aydır araştırıyorum. bir çok markayı eleyip fiyat performans diye siemense karar kıldım. makine iyi diye. birde ne göreyim. evde inşaat var sanırsınız. sıkma acayip gürültülü. servis kuruluma geldi çok normal dedi. sanki başka makine kullanmamışız gibi. Neyse bu şekilde kullanacağız. ama yeniden makine alırsam kesinlikle yerli üretim almam. birinci tercihim Lg olur. daha evvel samsung kullandim. oda iyiydi. ancak lg bu işin ustası olmuş.
Olumsuz;Teşhir ürün gönderilmiş. Kutusu 10 yıllık kutu gibiydi ürünün üzerinde lekeler vardı. Ürün çalışıyor diye iade yapmadım ama hiç güven vermiyor. Umarım sorunsuzdur. Tavsiyem dürüst satıcı arayın
Olumsuz;128 gb felan alakası yok 4 gb bir videoyu bile almıyor
Olumsuz;Ürünün kulaklık kaplaması çok çabuk renk attı.
Olumsuz;Bende aldım ama memnun kalmadım çok yavaş ve patatesleri kurutuyor çok gereksiz bir mutfak aleti
Olumsuz;Kablo 1 hafta sonra şarj etmemeye başladı. Şarj oluyo görünüyor ama pil yüzdesi artmıyor.
Olumlu;Çeyizim için aldım bence piyasadaki en iyi ütü
Olumlu;Umduğumdanda güzel ve kaliteli herkese tavsiye ederim
Olumlu;Başarılı
Olumlu;Ürün gayet başarılı sadece sesi biraz çok.  Çekim gücü iyi.
Olumlu;Ürün mükemmel şiddetle tavsiye ederim çekimgücü harikaaaa sesi biraz fazla ama marifetlerinin yanında önemi Yok
Olumsuz;Everest değil direk VRBox geldi. Kargo yavaş. Merak eden alsın ama çokta bişey beklemesin bu fiyata bu kadar.
Olumsuz;Olumsuz yönleri: bir hafta içinde arızalandı tavsiye etmem
Olumsuz;Markalı diye tercih ettim ama kötü. Alınmaz.
Olumlu;Ürün güzel ve kaliteli.Siparişim bir gün sonra teslim edildi.İmei dahil her türlü kontrolleri yaptım sorunsuz ve mükemmel çalışıyor.
Olumsuz;Olumsuz yönleri: Arçelik markasına güvenerek almıştım fakat çok kısa sürede emiş gücü düştü ve süpürme başlığındaki tekerlekler kırıldı. Verdiğim para boşa gitti malesef.
Olumlu;Bu fiyata bu telefon kaçmaz.Samsung bu işi biliyor.Samsung A70 modelinde piyasadaki diğer ürünlere fark atacak kadar kaliteli bir ürünü piyasaya çıkarmıştır.Güçlü işletim sistemi 3700 miliamper pil gücü üstün çözünürlükteki ekranı kolay kullanımı sayesinde Samsung Galaxy A70 modeline hayran kaldım.
Olumlu;Kalite ve uygun fiyat süper
Olumlu;3 sene oldu alalli hala sikintisiz kullaniyorum. 3 sene oncesi icin iyi telefondu tabiki
Olumlu;Ben alalı 8_9 ay oldu.cok memnun kaldım.utu işi hızlandı.mukemmel açıyor.sadece ısınması için bekliyorsunuz .
Olumlu;Modelini çok araştırarak seçmiştim. Çok memnunum. Bu fiyata daha iyisinin olduğunu düşünmüyorum.
Olumlu;Ürünün karıştırıcı aparatları kısa. Derin kaplarda sorun yaratabilir. Fiyat performans ürünü. Satıcı hızlı bir şekilde kargoladı.
Olumsuz;beğenmedim ürün defolu geldi
Olumsuz;İlk aldığımda çok güzeldi media tuşları olmasa bile olsun demiştim. Şimdi tuşlar katur kutur ediyor hafif tozlanma vardır dedim sildim hala aynı oyun oynarken tuşlara baskı yapmassanız veya yazarken basmıyor yarıda kalıyor mekanik bi klavye bakın kısacası bunun devri bitmiş saygılarla.
Olumsuz;İyi bir satıcı gibi paketleme konusunda biraz daha özen gösterebilirler
Olumsuz;Morluk ve koyu halkalar üzerinde hiç etkisi yok diyebilirim. Sadece nemlendiriyor
Olumlu;harika bir ürün tavsiye edilir
Olumlu;Harika düşünmeden alın kusursuz???? her yonuyle fıyatını hakediyor
Olumsuz;Hayır beğenmedim ürün çok kötü tavsiye etmiyorum.
Olumsuz;fiyat performans ürünü gayet hızlı geldi ben çok memnun kaldım  Ekleme: 1 ay kadar sonra performans düştü.
Olumlu;kaliteli çeyiz için muhtwsem
Olumsuz;Hayatım da bu kadar ses getiren bir ürün görmedim  geceleri ses den uyuyamiyoruz  sis siz olun sakin bu kılmayı almayın
Olumlu;urun guzel klasik utu .ekstra bir özelligi yok.
Olumsuz;hayır firma ismi yok
Olumsuz;ürünü orjinal earpods ile karşılaştırdım. çok farklı tecrübe edindim. kesinlikle orjinal olmayan bir ürün. şu an satıştan da kaldırılmış. iade için muhattap bulamıyorum. maillerime geri dönüş olmuyor. sorunumun en kısa zamanda çözülmesini rica ediyorum.
Olumsuz;Ürün resimlerinden oldukça büyük gözüküyor ama iç bölmeleri çok dar ve kullanışsız.
Olumsuz;Sakın aman almayin supurge tozu disari veriyo baslik cok agir servis teknik hata yok bu seri supurgelerin hepsinde var diyo kabul ediyo ama iade degisim veremiyo cunku iade ve degisimde servise sikinti yaratiliyormus ben aldim bin pisman oldum elim nasir tuttu rowenta supurgemi kacin arkaniza bile bakmayin.
Olumlu;Başarılı sadece göründüğü gibi geliyor eskra başlık yok
Olumlu;Çok memnun kaldım sokağa çıkma yasağı olmasına rağmen hemen geldi
Olumsuz;Malzeme zayif çok hafif basit egiliyor bu markaya yakişmamış
Olumsuz;arkadaslar telefonu 7 aydir kullaniyorum ne sarji dayaniyor ne hafizasi iyi ne adam gibi istedigim aplikasyonu yukleyebiliyorum kamerasi cok kalitesiz her islem tam bir kabus eger ilk telefonunu alacak bir ergen ya da yalnizca arama yapacak telefon kullanamayan bir yasli degilseniz almaya degmez bilesiniz
Olumsuz;Kumtel markalı ocağı bağlatmak için 22 şubat cuma günü Kumtel'in Ankara Çankaya servisi aradık 2 iş günü içerisinde geleceklerini gelmeden yarım saat önceden arayacaklarını söylediler cumartesi bizi aramışlar görmemişiz 15 dakika sonra geri aradım servis elemanı oradan çoktan uzaklaştık artık pazartesi salı gelirler dedi. Bende yeni kayıt yaptırmalı mıyım diye sordum eleman hayır dedi pazartesi öğlene kadar bekledik kimse aramadı biz aradık servisi. Servisten sizin kaydınız yok dediler. Hani kayıt gerekmiyordu dedim yok gerekiyor dediler yeni kayıt açtılar salı günü kimse gelmedi çarşamba günü saat 11 de arayıp 1 buçuk saat sonra geleceğiz dediler tamam dedik tam 2 saat geçti gelmediler geri aradık 2 saat oldu ne zaman geleceksiniz dedik sırada siz varsınız geleceğiz işi bitirince işte tarzı bir konuşma yaptı ısrarla ne kadar sürede diye sorduğumuzda 15 dakika falan dedi. Neyse bu kadar bekledik biraz daha bekleyelim diye düşündük tamam dedik 10 dakika sonra servis elemanı aradı sırada biri daha var size sonra geleceğiz dedi konuşmada aynen bu yüzsüzlükte kesinlikle bir özür dileme mahcubiyet yok. Nasıl olur zaten 1 buçuk saat dediniz 2 saat oldu şimdi biri kişiye daha gideceksin 2 buçuk 3 saat olacak diyoruz servis elemanı burada kalıcı değiliz herhalde buraya konmadık 15 dakika kalırız arabayla geliyoruz yürümüyoruz geleceğiz işte falan diye tamamen terbiye dışı bir konuşma gerçekleştirdi. Bizde müşteri hizmetlerini aradık servisi iptal ettik ürünü de iade ediyoruz herkes yazmıştı ben inanmadım ama bende diyorum iki kuruş fazla verin doğru düzgün marka alın bu arada şikayetimizden sonra servis elemanı aradı yine ne bir özür ne bir mahcubiyet beni şikayet etmişsiniz ben gelmiyorum haberiniz olsun başka servis için kayıt açın dedi. Servis elemanı aynı ukala tavırla bizi aradığına göre Kumtel'in de bu durumla ilgili bir şey yapacağını sanmıyorum. Almayın aldırmayın mağdur olmayın
Olumlu;Bir çaycıdan beklenen her şeyi karşılıyor. Tavsiye ediyorum.
Olumlu;İşe yarıyor
Olumlu;İstediğim gibi kaliteli memnu kaldım
Olumsuz;Cidden bir kez kullandım ve öylece kaldı. O kadar kötü ve bulaşıcı ki. Yani hele şuanki fiyata asla alınmaz.
Olumlu;kargo hızı ve ürün çok iyi
Olumlu;Gayet memnunum
Olumsuz;Ürün teslim edilmedi
Olumsuz;Yorumlara bakarak aldım çok pişmanım :( Allah aşkına niye bu kadar övdüğünüzü anlamıyorum. Patates pişireyim dedim 2 saatte en yüksek sıcaklıkta yarım yamalak pişerek çıktı. Önce ısıttım sonra 60 dk ayarladım ve sonuç pişmemiş. Tekrar 60 dk ayarladım biberler yanmış ama patates sadece yumuşamıştı. Parasını çöpe atmak isteyenler buyursun alsın. Davul fırınların yerini hiçbir şey tutmuyor. Annemin evde ki davul fırını muhteşem :(  iade talebinde bulundum. İnşallah satıcı sorun çıkarmaz. Eğer çıkarırsa onuda yazacağım. Boşuna paranız yanmasın. :(
Olumsuz;Üründen gerçekten çok az ses çıkmakta kesinlikle tavsiye etmiyorum başka bir ürüne bakın
Olumsuz;ipad 7.nesil için uyumlu mu acaba? (mini değil) ?
Olumsuz;malzeme kalitesi çok kötü bir plastikten yapılmış. Kablolarıda öyle. Tavsiye etmem. Ses idare edecek kadar..
Olumlu;Biraz gürültülü bir alet.
Olumlu;2 yıldır kullanan biri olarak söylüyorum ki gerçekten güzel telefon bugüne kadar kasma donma olmadı o kadar darbe almasına ve 2 kere suya maruz kalmasına rağmen hala çalışıyor :) şarj olayı da eğer normal bir kullanım yaparsanız 2 3 gün gidiyor
Olumsuz;Vestel şehzade aldım 1 hafta sonra otomatiği atmadı gönderdim geldi yine aynı 1 haftalık ürün pişman oldum.bayiye gittim kime şikayet edersen et dediler.vestel hikayeymiş.
Olumsuz;Gönderdikleri anakartın işlemci soketi problemli geldi 8 10 tane Pin kırık iade istedim bakalım ne yapacaklar
Olumsuz;tabiki de hayır
Olumlu;Ürün sorunsuz elime ulaştı ve ilk denememi yeni yıkattığım halımızda denedim. Meğersem biz yıkattık sanıyormuşuz. Çekim gücü max'ta kas yaptırır yani o derece kuvvetli. Teşekkürler Hepsiburada ve Philips Marathon. :)
Olumsuz;kesinlikle hic begenmedim cunku kurumus gibiydi arada sirada kullanabildim ve hic tavsiye etmem
Olumlu;Fiyat performans olarak çok başarılı
Olumlu;Olumlu yönleri: Boyutundan beklenmedik derecede güçlü
Olumlu;harika :) tam istediğim gibi küçük ve kuvettili bir çekiş gücü var çeyizim için aldım ve memnun kaldım tam zamanında geldi :) teşekkürler trendyol
Olumlu;ürün güzel kargo da hızlı geldi
Olumsuz;hayır takar takmaz yandı
Olumsuz;idare eder fiyatına göre fena değil
Olumlu;Kaliteli güzel ürün şuanlık memnunun ilerdede öyle olur inşallah
Olumlu;Güzel fiyat olarak da çok uygun
Olumsuz;Alalı 2 hafta oldu. Ancak bilgisayara taktığımda görünmüyor. Sanırım çabuk arızalamdı.
Olumlu;süpürge çekişi azaldı diyenler
Olumlu;Harika bir ürün daha ne olsunki
Olumsuz;Aldıktan 3 gün sonra bozuldu
Olumlu;Almadan once yorumlarini okumustum bi yorumda fare gibi pesinizden gelir yaziyodu gercekten oyle kucucuk bu fiyata alabileceginiz en iyi urun borulari cok kalitesiz eski supurgemin borusu uyumlu geldi onu taktim
Olumlu;Zaten kullandığımız bi üründü şimdi de çeyizime aldım memnun kalacağımdan eminin
Olumsuz;"Samsung smart tv 49"" curvet 4k alalı 2.5 sene oldu garantisi yeni bitti sayılır ve ana karti bozuldu servis 1000 lira ucret talep etti benim gibi samsung marka tv alanlar 2 ile 4 yil arasinda anakart arizasi kesinlikle yasiyor tvyi yeni alan arkadaslar hepiniz olmasa da bir çoğunuz malesef bu sorunu yasiyacak garantisi devam edenlerde bu sorunu yasiyor ama tvyi geri iade söz konusu bile deil ayni sorunu 3 kere tekrarlanması gerekiyor bu zaman zarfında zaten garanti bittigi icin ucrete tabii tutuluyorsunuz. Samsung pişmanlıktır. Son kararınız kesinlikle bu marka olmasın üzülürsünüz."
Olumsuz;ürün fena değil. herhangi bir kopma problemi felan yaşamadım şimdiye kadar ama wireless kapsama alanı çok dar. 100m kare evde internetin hiç çekmediği yerler var. bu fiyata daha iyisini bekliyordum açıkçası. bir de ürün çok ısınıyor..
Olumsuz;Selam .31.02.2020 tarihinde BKK 2220 ÇAY MAKINESI aldim ve 20 günlük kullanımdan s9nra otomat8gi atmadı.
Olumsuz;Olumsuz yönleri: süpürgenin hortumu kağıt gibi veya güneşte yanmış plastik  gibi tuttuğunuz yerden kopuyor. şaka gibi yanı. çok kötü
Olumlu;Ürünü tereddütsüz alabilirsiniz.Ayrıca kargoda çok hızlı..
Olumlu;Tam beklediğim gibi kaliteli bir ürün kıyması doğraması çarpması çok iyi
Olumsuz;Sivilcelerime hiçbir etki yapmıyor. Kişiden kişiye değişiyor sanırım. Ben memnun kalmadım. Sürüp yatıyorum ertesi gün aynı. Tekrar uyguluyorum yok yok.
Olumlu;Daha önceki ütülerle hiç ütü yapılmıyormuş gibi tek kelimeyle mükembel ve siparişimde beklediğimden dahada erken geldi teşekkürler almakisteyenler hiç düşünmeden alabilirler tavsiye ederim
Olumsuz;indirimde ydi gercektn orta hâllice çok bişey beklemeyin
Olumsuz;Ürün bozuk geldi
Olumlu;Bu kaliteye göre  fiyatı çok uygun.24 saatte geldi.Kutulaması da başarılı idi.Teşekkürler Hepsi burada.
Olumlu;Ürün gayet güzel ve kullanışlı. Tavsiye ederim
Olumsuz;saat iyi fakat şarjı fazla gitmiyor
Olumsuz;Hiç menmun kalmadım 1 kat yukaridaki wifi bulamıyor arada 15 cm beton var sade aldım ama geri iade edeceğim
Olumsuz;maalesef çok iyi değil kalitesi bu fiyaya oldukça yüksek
Olumlu;beyendim güzel ürün tavsiye ederim
Olumlu;Ürünün fiyatı çok uygun görseldeki gibi çok kullanışlı teşekkür ederim
Olumlu;trendyoldan uygun fiyata aldım memnun  kaldım
Olumlu;Urun hizli ve sorunsuz bir sekilde elime ulasti. 1 haftadir kullaniyorum ve sıkıntı yaşamadım. Teşekkürler!
Olumsuz;Arkadaşlar ekranın sol alt köşesinden ekranın ortasına kadar bir çizgi cıkıyor.göz kırpma gibi birşey.3 arkadaş aldık hepimizin aynı sorunu var.servis değiştirmede sıkıntı yapıyor.Halen ürünüm bu şekilde kullanıyorum.başka bir monitör bakın.
Olumlu;Kendi küçük ama işini büyük yapan bir makine iddia ediyorum bunu beğenmemeniz mümkün değil
Olumlu;Avantajlar : herkesin kullanımına uygun<br />ürün gerçekten güzel hemen arkadaşımada aldık
Olumlu;Harika bi teslimat hızı var
Olumlu;istedigim  gibi geldi çok beğendim
Olumsuz;diğer kombilerde petek ve su sıcaklığı için iki ayrı ayar düğmesi var bu kombide ise aynı düğmeleri kullanmak zorundasınız ve yazılar o kadar küçük ki benim gibi gözleriniz küçük yazıları iyi seçemiyor ise yandınız birde gece sıcaklığı değiştirmeniz gerekirse vay halinize.  bu kombi mutlaka oda termostadı ile alınmalı diye düşünüyorum
Olumsuz;ÜRÜN HİÇ KALİTELİ DEĞİL VE SORUN OLDUĞU ZAMAN KARŞIN KARGO ALMI YOR HİÇ KİMSEYE TAVSİYE ETMEM
Olumlu;guzel cok memnun kaldik
Olumsuz;Ha yatımda bu kadar bır kotu marka gormedım .Hele servıs berbat sakın almayın
Olumsuz;Berbat bir ürün.Son derece gürültü ve titreşimli çalışıyor.SAKIN ALMAYIN
Olumsuz;Bozuk çalışmıyor
Olumlu;Gayet şık ve guzel fıyatı ıyı kargo ıyı tskler
Olumsuz;Bende buradaki yorumları okuyarak bu tv yi aldım. Bu tv yi nasıl beğendiler anlamadım. Tvde hiç doğal bir renk gösterimi yok özellikle insan teni ve yüzü çok parlama yapıyor ışıklı sütüdyolardaki tv programlarında mesela insanların yüzü resmen beyaz olarak gösteriyor ben aldığım için çok pişmanım alacakların  iyi araştırmalarını tavsiye ediyorum. Benim gibi pişman olmayın. Bu yorumları yapanlar daha önce hiç let tv seyretmemişlermi anlayamadım.
Olumsuz;Ürün orjinal değil 166tl yi çöpe atmayın
Olumlu;harika bi ürün beğendim
Olumlu;Bu fiyata alınabilecek en iyi çamaşır makinesi
Olumsuz;Beyaz renk istedik gelen ürün gökyüzü mavisi çoktı. Kargo çok geç geldi.
Olumsuz;Vestelden uzak durun. Ne demek istediğimi ürünü alısanız anlarsınız. Özellikle derin dondurucuları aşırı ses yapıyor.
Olumlu;Çok güzel bir ürün ????
Olumsuz;kargoyu vereli 4 gun oldu hala isleme alindi diyor kargoya verilmedi  insallah kulaklik guzeldir
Olumsuz;Ekmek yapilirmi?
Olumsuz;Ürün güzel fakat su akıtıyor iade ettik
Olumlu;Çok memnunum tavye ederim.
Olumlu;Mutfakta epey iş görür
Olumlu;Daha öncekini kendimiz kırdığımız için aynı ürünü tekrar almak istedik. Kesinlikle memnun kalırsız.
Olumlu;??????
Olumsuz;çırpma telleri çok kısa olduğundan kullanışlı değil
Olumsuz;ürün beklediğim gibi değil hala üflediği havayı soğuttuğunu anlayamadım. soğutuyorsa hissedilemeyecek kadar az bi soğutma odada ki nemi arttırdığından ayrıca bunaltı veriyor. bence sadece vantilatör alın hem daha az ödeyin hem de aynı görevi gören makinanız olur.
Olumlu;Çayı güzel demliyor. Ve hemen bayatlamıyor. İçilecek kıvamda sıcak tutuyor. Üründen çok memnun kaldım. Demliğin kapağı plastik olmasaydı metal olsaydı daha iyi olurdu. Kullandığım diğer korkmaz demliğin metal kapağının ölçüsü uydu neyse ki. Plastik kapak bu ürüne yakışmamış. Fiyat / performans yüksek. Tavsiye ederim
Olumsuz;bluetooth var diyor...halbuki yok alacak olanlara uyarı!!!!
Olumsuz;Ürün fena değil
Olumsuz;Ürün fena değilde surat kargoyla gonderilmesi cok kotu
Olumlu;kaliteli ürün ve sessiz
Olumlu;Ürünü çeyizim için aldım. Müthiş kullanışlı tavsiye ederim.
Olumlu;Olumlu yönleri: Çok beğendim herkese tavsiye ederim
Olumsuz;Komut tuslari islevsel degil. Kulakliklarin icindeki manyetik kisim da sallaniyor gibi. Geri gonderme suresinde iade etme firsati bulamadigim icin gittigi yere kadar oyle kullanacagim
Olumlu;gerçekten güzel bir ürün sesi çok az gücü çok yüksek sadece tutma kolu biraz  zayıf gibi.
Olumsuz;sipariş ve gelme süreci çabuktu eyvallah ama ürün çok yavaş yükleme yapıyor..
Olumsuz;Burda yazılan yorumları dikkate alıp aldım fakat 1 senedir kullanıyorum ütüyü tabanı simsiyah oldu bile abartıldığı kadar iyi bi ütü olduğunu düşünmüyorum malesef ????
Olumlu;annelerin kalbinin çalmanın güzel bir yolu
Olumlu;Uygun fiyat kaliteli ürün
Olumsuz;Olumsuz yönleri: 1 bile fazla geldi sağ tarafı kırık çatlaklar mevcut sırf iade et yenisi gelsin süreciyle uğraşmamak için iade etmedim birde kumtel fazla yakıyormuş alacak arkadaşlar onu da göz önünde bulundursun ucuz diye alıp yüksek fatura ödemeyin
Olumlu;Ürün kaliteli kullanışlı guzel. Satıcınin nasil bir magaza oldugu belli degil
